DEPCOM;NOM_COM;NB_IRIS
77014;Avon;5
77037;Bois-le-Roi;2
77053;Brie-Comte-Robert;3
77058;Bussy-Saint-Georges;5
77067;Cesson;4
77079;Champagne-sur-Seine;3
77083;Champs-sur-Marne;7
77108;Chelles;16
77118;Claye-Souilly;4
77122;Combs-la-Ville;11
77131;Coulommiers;5
77139;Courtry;2
77152;Dammarie-les-Lys;11
77153;Dammartin-en-Goële;3
77169;Émerainville;2
77171;Esbly;2
77183;La Ferté-sous-Jouarre;2
77186;Fontainebleau;8
77215;Gretz-Armainvilliers;3
77243;Lagny-sur-Marne;8
77249;Lésigny;3
77251;Lieusaint;3
77258;Lognes;6
77284;Meaux;24
77285;Le Mée-sur-Seine;9
77288;Melun;15
77294;Mitry-Mory;7
77296;Moissy-Cramayel;6
77305;Montereau-Fault-Yonne;8
77326;Nandy;3
77327;Nangis;3
77330;Nanteuil-lès-Meaux;2
77333;Nemours;5
77337;Noisiel;7
77349;Othis;2
77350;Ozoir-la-Ferrière;9
77373;Pontault-Combault;11
77379;Provins;5
77390;Roissy-en-Brie;9
77407;Saint-Fargeau-Ponthierry;6
77431;Saint-Pierre-lès-Nemours;2
77438;Saint-Thibault-des-Vignes;2
77445;Savigny-le-Temple;9
77458;Souppes-sur-Loing;2
77464;Thorigny-sur-Marne;3
77468;Torcy;11
77470;Tournan-en-Brie;3
77479;Vaires-sur-Marne;5
77487;Vaux-le-Pénil;4
77495;Vert-Saint-Denis;3
77514;Villeparisis;6
