CODGEO;REG;DEP;LIBGEO;P99_POP1564;P99_ACT1564;P99_HACT1564;P99_FACT1564;P99_ACTOCC1564;P99_CHOM1564;P99_HCHOM1564;P99_FCHOM1564;P99_INACT1564;P99_ETUD1564;P99_RETR1564;P99_AUT1564;C99_ACT1564;C99_ACT1564_CS1;C99_ACT1564_CS2;C99_ACT1564_CS3;C99_ACT1564_CS4;C99_ACT1564_CS5;C99_ACT1564_CS6;C99_ACTOCC1564;C99_ACTOCC1564_CS1;C99_ACTOCC1564_CS2;C99_ACTOCC1564_CS3;C99_ACTOCC1564_CS4;C99_ACTOCC1564_CS5;C99_ACTOCC1564_CS6;P99_EMPLT;P99_ACTOCC;P99_POP15P;P99_ACT15P;P99_EMPLT_SAL;P99_EMPLT_FSAL;P99_EMPLT_SALTP;P99_EMPLT_NSAL;P99_EMPLT_FNSAL;P99_EMPLT_NSALTP;C99_EMPLT;C99_EMPLT_CS1;C99_EMPLT_CS2;C99_EMPLT_CS3;C99_EMPLT_CS4;C99_EMPLT_CS5;C99_EMPLT_CS6
77001;11;77;Achäres-la-Foràt;679;496;278;218;442;52;28;24;183;71;48;64;500;8;48;96;128;132;84;448;8;48;84;124;116;68;132;443;816;497;93;57;21;39;10;3;189;12;36;8;40;69;24
77002;11;77;Amillis;453;344;188;156;301;41;21;20;109;44;26;39;332;8;24;20;104;80;92;292;8;24;20;84;76;80;199;301;545;344;159;75;24;40;11;2;221;8;26;9;29;55;94
77003;11;77;Amponville;199;157;81;76;145;11;5;6;42;15;13;14;164;16;16;20;36;40;32;148;16;12;16;36;36;32;60;146;232;158;36;13;6;24;5;2;49;16;4;0;5;4;20
77004;11;77;Andrezel;261;189;107;82;178;11;6;5;72;42;7;23;204;4;12;32;60;48;44;180;4;8;32;56;36;44;52;179;286;190;37;20;8;15;3;3;52;8;0;0;8;16;20
77005;11;77;Annet-sur-Marne;1710;1295;700;595;1191;102;54;48;415;206;90;119;1300;12;80;196;428;332;240;1204;8;80;196;404;320;196;331;1194;1964;1298;279;119;46;52;15;4;376;8;37;13;100;99;119
77006;11;77;Arbonne-la-Foràt;544;401;218;183;370;30;16;14;143;57;46;40;392;20;64;88;88;92;40;376;16;64;88;84;88;36;200;371;711;402;163;115;45;37;18;4;233;12;24;16;44;109;28
77007;11;77;Argentiäres;235;177;94;83;166;11;6;5;58;23;11;24;168;0;12;20;32;56;48;160;0;12;20;32;56;40;36;167;272;178;29;12;4;7;1;0;24;0;4;8;0;12;0
77008;11;77;Armentiäres-en-Brie;736;408;239;169;339;68;41;27;328;134;28;166;380;4;20;44;164;84;64;336;4;16;44;132;80;60;48;340;819;409;40;25;8;8;4;1;42;4;5;0;9;12;12
77009;11;77;Arville;74;60;34;26;56;4;1;3;14;4;3;7;60;4;8;4;8;24;12;52;4;8;4;8;20;8;27;57;99;61;15;3;2;12;3;3;20;4;8;0;0;8;0
77010;11;77;Aubepierre-Ozouer-le-Repos;603;444;262;182;402;41;19;22;159;61;36;62;432;28;24;24;112;96;144;388;28;24;20;104;92;120;167;404;675;446;131;46;26;36;7;3;216;36;12;16;68;28;56
77011;11;77;Aufferville;276;206;116;90;189;17;8;9;70;20;25;25;192;20;4;8;44;56;60;176;20;4;8;44;48;52;64;191;345;208;44;16;9;20;5;1;64;20;0;4;4;4;32
77012;11;77;Augers-en-Brie;156;104;57;47;90;13;5;8;52;22;9;21;104;12;8;12;24;28;20;88;12;4;12;20;20;20;34;91;197;105;21;12;7;13;5;1;48;12;4;8;8;8;8
77013;11;77;Aulnoy;217;156;87;69;142;13;4;9;61;20;16;25;156;6;17;19;31;43;38;142;6;17;19;28;36;36;66;142;255;156;45;24;13;21;6;0;61;6;6;6;18;13;12
77014;11;77;Avon;9099;6674;3475;3199;5932;719;349;370;2425;1013;626;786;6648;4;236;1152;1724;2248;1216;5892;4;208;1080;1580;1976;1044;3392;5973;11305;6714;3021;1595;570;371;132;30;3471;0;233;591;906;1143;598
77015;11;77;Baby;42;27;18;9;25;1;1;0;15;6;3;6;28;4;4;0;8;4;4;24;4;4;0;8;4;4;19;25;50;27;12;5;1;7;2;1;21;4;4;0;4;0;9
77016;11;77;Bagneaux-sur-Loing;1059;766;417;349;664;98;45;53;293;117;73;103;788;0;40;40;100;264;336;684;0;36;36;96;208;308;1702;664;1287;766;1640;270;121;62;16;6;1798;4;36;160;363;125;1110
77018;11;77;Bailly-Romainvilliers;2418;2086;1053;1033;1951;131;57;74;332;151;47;134;2080;0;52;264;528;884;336;1948;0;52;260;512;824;300;465;1954;2485;2089;424;254;78;41;21;4;369;0;16;44;101;138;70
77019;11;77;Balloy;214;158;94;64;146;11;6;5;56;20;10;26;160;0;12;12;24;36;76;140;0;12;12;20;24;72;55;146;274;158;53;14;7;2;0;0;55;0;4;4;0;20;27
77020;11;77;Bannost-Villegagnon;309;218;123;95;193;23;6;17;91;29;30;32;196;8;20;16;52;48;44;160;8;20;16;48;36;32;86;194;380;219;60;20;12;26;8;2;94;8;12;0;12;20;42
77021;11;77;Barbey;96;65;37;28;60;5;1;4;31;14;8;9;52;0;4;0;20;16;12;52;0;4;0;20;16;12;15;60;117;65;11;4;3;4;1;0;13;0;0;0;0;12;1
77022;11;77;Barbizon;959;654;354;300;593;58;32;26;305;111;75;119;656;4;124;160;140;168;56;592;4;116;148;132;152;40;434;603;1233;664;316;160;80;118;52;10;464;0;90;36;61;193;84
77023;11;77;Barcy;138;104;55;49;98;6;3;3;34;12;9;13;100;4;8;8;28;20;32;96;4;8;8;24;20;32;26;99;167;105;17;8;5;9;3;0;24;8;8;0;0;8;0
77024;11;77;Bassevelle;233;162;97;65;146;16;9;7;71;40;6;25;176;20;12;8;40;44;52;156;20;12;8;40;32;44;64;148;270;164;39;17;10;25;9;1;73;20;13;0;4;17;19
77025;11;77;Bazoches-läs-Bray;470;325;185;140;289;36;10;26;145;49;41;55;328;16;32;12;72;72;120;296;16;24;12;72;60;112;104;289;608;325;74;29;16;30;6;2;105;16;20;5;4;24;36
77026;11;77;Beauchery-Saint-Martin;229;173;101;72;155;18;11;7;56;18;9;29;176;16;12;8;44;36;52;140;16;12;8;40;24;40;61;155;272;173;35;17;6;26;7;4;59;16;10;0;4;8;21
77027;11;77;Beaumont-du-GÉtinais;510;392;212;180;348;44;14;30;118;33;33;52;376;24;40;32;36;148;96;328;20;36;32;32;124;84;239;351;771;394;174;82;35;65;21;8;215;20;36;16;29;53;61
77028;11;77;Beautheil;377;279;157;122;257;22;9;13;98;38;22;38;312;8;32;40;44;116;72;300;8;32;40;44;108;68;69;258;436;280;50;18;9;19;5;2;137;8;20;12;12;32;53
77029;11;77;Beauvoir;137;103;62;41;100;3;1;2;34;11;7;16;88;0;16;8;24;12;28;84;0;16;8;24;12;24;28;101;155;104;23;8;5;5;0;0;12;4;0;0;0;0;8
77030;11;77;Bellot;442;309;173;136;258;49;20;29;133;50;38;45;320;8;20;40;72;80;92;256;8;16;20;64;68;80;68;258;551;309;40;21;8;28;7;3;88;8;12;8;4;29;27
77031;11;77;Bernay-Vilbert;511;390;219;171;359;29;15;14;121;55;35;31;384;4;48;44;112;104;72;352;4;48;40;100;96;64;144;361;595;392;119;55;25;25;4;2;161;4;20;8;37;44;48
77032;11;77;Beton-Bazoches;410;288;171;117;251;37;15;22;122;34;38;50;292;28;32;12;24;80;108;252;28;28;12;20;68;96;153;253;538;290;102;39;22;51;23;1;150;28;29;4;16;24;49
77033;11;77;Bezalles;102;72;41;31;67;5;2;3;30;14;1;15;76;4;0;12;16;16;28;72;4;0;12;16;16;24;17;67;115;72;10;8;4;7;1;0;12;4;0;8;0;0;0
77034;11;77;Blandy;468;331;183;148;307;24;11;13;137;50;42;45;336;8;36;48;108;68;68;316;8;36;40;104;64;64;109;309;566;333;82;22;8;27;6;1;78;4;21;0;16;16;21
77035;11;77;Blennes;295;213;115;98;187;26;12;14;82;31;20;31;216;16;24;8;48;60;60;176;16;24;8;44;44;40;45;187;355;213;23;15;9;22;5;0;51;16;8;0;9;13;5
77036;11;77;Boisdon;50;37;21;16;34;3;2;1;13;8;1;4;40;0;4;4;8;12;12;40;0;4;4;8;12;12;10;34;65;37;7;4;0;3;1;0;4;0;0;0;4;0;0
77037;11;77;Bois-le-Roi;3389;2374;1240;1134;2213;158;66;92;1015;482;245;288;2348;0;176;708;676;556;232;2168;0;176;684;624;492;192;1179;2218;4157;2379;1004;556;203;175;68;21;1247;0;148;172;259;400;268
77038;11;77;Boissettes;273;183;96;87;176;7;3;4;90;39;32;19;184;0;16;64;60;28;16;180;0;16;64;60;28;12;82;177;327;184;73;42;16;9;3;2;101;0;4;8;33;28;28
