Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77001;11;77;774;7703;1149;Achères-la-Forêt;;;;;
2001;77002;11;77;773;7711;1153;Amillis;;;;;
2001;77003;11;77;774;7703;1149;Amponville;;;;;
2001;77004;11;77;772;7722;1148;Andrezel;;;;;
2001;77005;11;77;775;7706;1154;Annet-sur-Marne;82,67;77,25;10,79;7,93;4,03
2001;77006;11;77;772;7732;1148;Arbonne-la-Forêt;;;;;
2001;77007;11;77;772;7722;1148;Argentières;;;;;
2001;77008;11;77;771;7715;1155;Armentières-en-Brie;;;;;
2001;77009;11;77;774;7704;1150;Arville;;;;;
2001;77010;11;77;772;7722;1148;Aubepierre-Ozouer-le-Repos;;;;;
2001;77011;11;77;774;7704;1150;Aufferville;;;;;
2001;77012;11;77;773;7729;1152;Augers-en-Brie;;;;;
2001;77013;11;77;771;7707;1153;Aulnoy;;;;;
2001;77014;11;77;774;7713;1149;Avon;71,63;70,09;23,68;3,8;2,43
2001;77015;11;77;773;7701;1152;Baby;;;;;
2001;77016;11;77;774;7724;1150;Bagneaux-sur-Loing;;;;;
2001;77018;11;77;775;7743;1154;Bailly-Romainvilliers;77,07;93,21;3,89;2,23;0,67
2001;77019;11;77;773;7701;1151;Balloy;;;;;
2001;77020;11;77;773;7723;1135;Bannost-Villegagnon;;;;;
2001;77021;11;77;773;7720;1151;Barbey;;;;;
2001;77022;11;77;772;7732;1148;Barbizon;;;;;
2001;77023;11;77;771;7717;1155;Barcy;;;;;
2001;77024;11;77;771;7712;1155;Bassevelle;;;;;
2001;77025;11;77;773;7701;1152;Bazoches-lès-Bray;;;;;
2001;77026;11;77;773;7729;1152;Beauchery-Saint-Martin;;;;;
2001;77027;11;77;774;7704;1150;Beaumont-du-Gâtinais;;;;;
2001;77028;11;77;771;7707;1153;Beautheil;;;;;
2001;77029;11;77;772;7722;1148;Beauvoir;;;;;
2001;77030;11;77;771;7726;1153;Bellot;;;;;
2001;77031;11;77;772;7727;1135;Bernay-Vilbert;;;;;
2001;77032;11;77;773;7729;1153;Beton-Bazoches;;;;;
2001;77033;11;77;773;7723;1135;Bezalles;;;;;
2001;77034;11;77;772;7705;1148;Blandy;;;;;
2001;77035;11;77;774;7716;1151;Blennes;;;;;
2001;77036;11;77;773;7723;1135;Boisdon;;;;;
2001;77037;11;77;774;7713;1148;Bois-le-Roi;82,37;69,39;18,41;7,68;4,52
2001;77038;11;77;772;7742;1148;Boissettes;;;;;
2001;77039;11;77;772;7742;1148;Boissise-la-Bertrand;;;;;
2001;77040;11;77;772;7732;1148;Boissise-le-Roi;87,6;75,42;18,09;3,37;3,11
2001;77041;11;77;774;7703;1149;Boissy-aux-Cailles;;;;;
2001;77042;11;77;771;7707;1153;Boissy-le-Châtel;76,06;67,6;18,18;8,75;5,48
2001;77043;11;77;771;7726;1155;Boitron;;;;;
2001;77044;11;77;772;7722;1148;Bombon;;;;;
2001;77045;11;77;774;7704;1150;Bougligny;;;;;
2001;77046;11;77;774;7703;1147;Boulancourt;;;;;
2001;77047;11;77;771;7708;1155;Bouleurs;;;;;
2001;77048;11;77;774;7724;1149;Bourron-Marlotte;74,07;63,15;17,66;6,35;12,83
2001;77049;11;77;771;7708;1155;Boutigny;;;;;
2001;77050;11;77;774;7704;1150;Bransles;;;;;
2001;77051;11;77;773;7701;1152;Bray-sur-Seine;55,21;61,74;27,5;7,83;2,93
2001;77052;11;77;772;7722;1148;Bréau;;;;;
2001;77053;11;77;772;7702;1135;Brie-Comte-Robert;78,09;76,83;15;5,5;2,67
2001;77054;11;77;773;7720;1151;Brosse-Montceaux (La);;;;;
2001;77055;11;77;775;7736;1136;Brou-sur-Chantereine;73,85;77,56;17,58;3,47;1,39
2001;77056;11;77;774;7703;1150;Burcy;;;;;
