IRIS2;N_logements;COM;REG;DEP;ARR;COMA;Nb_resid_princ;Nobre_RS;Nombre_log_occasionnels;NBr_loge_vacants;RP_Proprio;RPLogemnts_locatifs_vide_NonHLM;RPMeubl_chambre_hotels;RP_residPrincipLocPriv
751010101;755;75056;11;75;751;75101;555;33;71;96;125;299;20;319
751010102;196;75056;11;75;751;75101;136;9;10;41;45;67;2;69
751010103;361;75056;11;75;751;75101;241;18;14;88;47;135;14;149
751010104;5;75056;11;75;751;75101;5;0;0;0;0;0;0;0
751010199;2;75056;11;75;751;75101;1;0;0;1;1;0;0;0
751010201;1919;75056;11;75;751;75101;1449;52;104;314;385;754;64;818
751010202;1623;75056;11;75;751;75101;1092;63;120;348;202;711;58;769
751010203;1968;75056;11;75;751;75101;1370;123;121;354;360;720;76;796
751010204;1559;75056;11;75;751;75101;1155;25;66;313;255;516;37;553
751010206;407;75056;11;75;751;75101;306;1;48;52;64;174;34;208
751010301;2220;75056;11;75;751;75101;1624;178;165;253;487;781;93;874
751010302;108;75056;11;75;751;75101;73;3;8;24;18;38;5;43
751010303;207;75056;11;75;751;75101;152;12;25;18;47;81;3;84
751010401;1155;75056;11;75;751;75101;817;49;74;215;216;427;49;476
751010402;1202;75056;11;75;751;75101;906;57;52;187;232;520;38;558
751020501;678;75056;11;75;751;75102;486;27;40;125;154;254;18;272
751020502;204;75056;11;75;751;75102;121;25;18;40;14;71;5;76
751020503;124;75056;11;75;751;75102;103;0;4;17;30;56;7;63
751020601;1145;75056;11;75;751;75102;903;44;49;149;206;492;45;537
751020602;1131;75056;11;75;751;75102;830;48;112;141;228;453;59;512
751020701;1400;75056;11;75;751;75102;1119;21;73;187;305;619;59;678
751020702;1302;75056;11;75;751;75102;1041;58;62;141;300;538;84;622
751020703;1387;75056;11;75;751;75102;1032;31;47;277;305;530;79;609
751020704;291;75056;11;75;751;75102;256;2;4;29;55;164;7;171
751020801;1549;75056;11;75;751;75102;1048;13;106;382;294;589;39;628
751020802;1609;75056;11;75;751;75102;1178;64;93;274;365;582;88;670
751020803;1509;75056;11;75;751;75102;1083;35;77;314;386;530;66;596
751020804;1466;75056;11;75;751;75102;1029;18;142;277;261;615;61;676
751020805;1789;75056;11;75;751;75102;1259;9;37;484;346;707;115;822
751030901;1319;75056;11;75;751;75103;1054;34;41;190;353;469;54;523
751030902;1523;75056;11;75;751;75103;1141;30;37;315;446;531;64;595
751030903;1419;75056;11;75;751;75103;1064;35;58;262;318;520;100;620
751030904;1520;75056;11;75;751;75103;1157;38;47;278;309;582;124;706
751030905;1166;75056;11;75;751;75103;951;23;37;155;237;508;55;563
751031001;1497;75056;11;75;751;75103;1118;43;65;271;281;627;48;675
751031002;1549;75056;11;75;751;75103;1149;55;23;322;462;517;69;586
751031003;1850;75056;11;75;751;75103;1361;57;38;394;459;671;85;756
751031004;1581;75056;11;75;751;75103;1188;56;44;293;363;591;85;676
751031101;1513;75056;11;75;751;75103;1200;35;85;193;346;705;39;744
751031102;1262;75056;11;75;751;75103;979;61;46;176;354;428;52;480
751031103;1380;75056;11;75;751;75103;1012;53;102;213;394;429;54;483
751031104;2089;75056;11;75;751;75103;1537;143;63;346;523;759;89;848
751031201;1518;75056;11;75;751;75103;1105;59;63;291;362;553;49;602
751031202;1447;75056;11;75;751;75103;1071;74;68;234;370;497;53;550
751031203;1445;75056;11;75;751;75103;1119;72;51;203;250;460;68;528
751031204;1599;75056;11;75;751;75103;1143;31;68;357;346;600;71;671
751041301;1395;75056;11;75;751;75104;1111;53;86;145;378;511;66;577
751041302;1912;75056;11;75;751;75104;1538;82;99;193;428;856;77;933
751041303;1338;75056;11;75;751;75104;1068;44;92;134;204;549;42;591
751041304;179;75056;11;75;751;75104;152;4;11;12;29;93;5;98
751041401;2369;75056;11;75;751;75104;2050;41;47;231;257;649;221;870
751041402;2006;75056;11;75;751;75104;1517;66;148;275;458;711;108;819
751041403;2249;75056;11;75;751;75104;1727;62;115;345;628;755;126;881
751041404;1557;75056;11;75;751;75104;1274;54;54;175;425;593;87;680
751041501;1788;75056;11;75;751;75104;1545;35;44;164;406;603;51;654
751041502;1443;75056;11;75;751;75104;1157;126;65;95;493;464;61;525
751041503;1388;75056;11;75;751;75104;1114;30;57;187;313;628;47;675
751041504;1802;75056;11;75;751;75104;1405;104;114;179;565;583;93;676
751041601;2505;75056;11;75;751;75104;1858;250;90;307;648;820;129;949
751041602;671;75056;11;75;751;75104;499;51;67;54;172;187;49;236
751041603;105;75056;11;75;751;75104;92;0;5;8;16;24;6;30
751041699;5;75056;11;75;751;75104;3;2;0;0;3;0;0;0
751051701;1679;75056;11;75;751;75105;1321;64;89;205;454;589;118;707
751051702;1224;75056;11;75;751;75105;1040;32;53;99;367;470;77;547
751051703;1738;75056;11;75;751;75105;1439;69;95;135;407;658;105;763
751051704;2190;75056;11;75;751;75105;1787;78;99;226;562;866;110;976
