CODGEO;REG;DEP;LIBGEO;P08_LOG;P08_RP;P08_RSECOCC;P08_LOGVAC;P08_MAISON;P08_APPART;P08_RP_1P;P08_RP_2P;P08_RP_3P;P08_RP_4P;P08_RP_5PP;P08_NBPI_RP;P08_RPMAISON;P08_NBPI_RPMAISON;P08_RPAPPART;P08_NBPI_RPAPPART;P08_RP_ACHTT;P08_RP_ACHT1;P08_RP_ACHT2;P08_RP_ACHT3;P08_RP_ACHT4;P08_RPMAISON_ACHT1;P08_RPMAISON_ACHT2;P08_RPMAISON_ACHT3;P08_RPMAISON_ACHT4;P08_RPAPPART_ACHT1;P08_RPAPPART_ACHT2;P08_RPAPPART_ACHT3;P08_RPAPPART_ACHT4;P08_MEN;P08_MEN_ANEM0002;P08_MEN_ANEM0204;P08_MEN_ANEM0509;P08_MEN_ANEM10P;P08_MEN_ANEM1019;P08_MEN_ANEM2029;P08_MEN_ANEM30P;P08_PMEN;P08_PMEN_ANEM0002;P08_PMEN_ANEM0204;P08_PMEN_ANEM0509;P08_PMEN_ANEM10P;P08_NBPI_RP_ANEM0002;P08_NBPI_RP_ANEM0204;P08_NBPI_RP_ANEM0509;P08_NBPI_RP_ANEM10P;P08_RP_PROP;P08_RP_LOC;P08_RP_LOCHLMV;P08_RP_GRAT;P08_NPER_RP;P08_NPER_RP_PROP;P08_NPER_RP_LOC;P08_NPER_RP_LOCHLMV;P08_NPER_RP_GRAT;P08_ANEM_RP;P08_ANEM_RP_PROP;P08_ANEM_RP_LOC;P08_ANEM_RP_LOCHLMV;P08_ANEM_RP_GRAT;P08_RP_SDB;P08_RP_CCCOLL;P08_RP_CCIND;P08_RP_CINDELEC;P08_RP_ELEC;P08_RP_EAUCH;P08_RP_BDWC;P08_RP_CHOS;P08_RP_CLIM;P08_RP_TTEGOU;P08_RP_GARL;P08_RP_VOIT1P;P08_RP_VOIT1;P08_RP_VOIT2P;P08_RP_HABFOR;P08_RP_CASE;P08_RP_MIBOIS;P08_RP_MIDUR
75101;11;75;Paris 1er Arrondissement;13672;9988;2109;1575;39;13104;2662;3184;2116;1058;969;25170;36;130;9648;24633;9980;9164;249;389;180;33;3;0;0;8835;246;389;171;9988;1761;2393;2118;3716;1540;962;1213;17049;2691;4050;3594;6714;3588;5533;5118;10931;2900;6294;555;795;17049;5334;10276;1155;1439;119048;50659;60043;7059;8346;9110;1574;3000;5354;;;;;;;1675;3132;2770;362;;;;
75102;11;75;Paris 2e Arrondissement;16387;13038;1512;1837;81;15879;4172;4590;2408;1125;743;29323;60;184;12657;28731;12999;11925;475;202;396;52;0;6;1;11579;455;193;395;13038;2646;3331;2980;4081;1991;952;1138;21767;3714;5471;5437;7144;4814;6682;6858;10969;4131;7974;387;933;21767;7501;12750;870;1517;129264;58074;61284;2904;9906;11566;1388;3108;8377;;;;;;;1580;3150;2876;274;;;;
75103;11;75;Paris 3e Arrondissement;25594;20165;2831;2598;114;24801;5763;6592;3902;2269;1639;48780;98;337;19532;47785;20085;17888;642;950;604;89;3;2;4;17357;613;890;594;20165;3465;5091;4356;7252;3163;1833;2255;34637;5287;8446;7969;12935;6774;10830;10451;20725;7346;11575;1016;1244;34637;13397;19075;1980;2165;227447;116002;98814;13157;12631;18275;2583;5870;11495;;;;;;;3133;5763;5259;503;;;;
75104;11;75;Paris 4e Arrondissement;22525;16004;4129;2392;110;21766;4248;4827;3465;2028;1437;40346;45;163;15464;39531;15996;13797;1084;659;456;42;0;1;2;13411;1062;578;405;16004;2778;3410;3162;6655;2622;1617;2415;27492;4174;5698;5906;11714;5655;7429;7883;19379;5244;9266;1203;1494;27492;9602;15168;2265;2722;211431;105785;89124;17878;16522;14557;2934;4923;7974;;;;;;;2975;5390;4755;635;;;;
75105;11;75;Paris 5e Arrondissement;40600;34036;3775;2789;203;38865;9197;10344;7367;3776;3352;85631;175;736;32583;83368;33991;26868;3860;2513;750;132;8;23;11;25861;3580;2436;665;34036;6082;7932;6078;13943;5581;3602;4760;59314;9162;13443;11625;25084;11489;16730;15144;42268;11268;19766;3192;3002;59314;21045;32912;5723;5356;443557;229361;186649;56951;27547;30677;10058;9762;13913;;;;;;;6837;12492;11019;1472;;;;
75106;11;75;Paris 6e Arrondissement;32445;23678;5321;3447;149;30955;6060;5953;4438;3233;3994;67009;112;512;22526;65184;23635;20624;1927;608;476;100;5;0;4;19604;1844;598;445;23678;3941;5368;4106;10263;3794;2520;3950;41836;6019;8994;8431;18391;8043;12579;11766;34621;8848;12317;401;2513;41836;16934;20561;925;4341;332537;190044;118385;4631;24107;21377;5394;8166;9914;;;;;;;5927;9699;8288;1410;;;;
75107;11;75;Paris 7e Arrondissement;38730;30753;5263;2714;268;36135;7534;7433;5263;4104;6419;92156;199;1031;28766;88978;30719;26406;2932;1025;357;162;15;12;10;24725;2757;918;340;30753;5416;7053;5629;12655;4985;3042;4628;55695;8526;12649;11200;23320;12470;18047;16526;45112;11801;15606;160;3346;55695;23500;25996;265;6200;404438;236817;135485;1747;32136;27353;11715;8806;10033;;;;;;;7001;14975;12090;2885;;;;
75108;11;75;Paris 8e Arrondissement;25921;18395;4007;3519;131;24553;3852;4159;3153;2719;4511;58756;87;408;17399;57031;18371;16555;1173;247;396;82;2;3;0;15646;1113;228;392;18395;2967;4591;3512;7324;2980;1789;2555;37896;5072;9667;8053;15104;7303;13327;11214;26911;6508;9880;273;2007;37896;14751;18987;710;4158;230752;115535;91741;2511;23477;16616;5645;7018;5629;;;;;;;4699;9747;7586;2161;;;;
75109;11;75;Paris 9e Arrondissement;38499;31326;2942;4231;107;36864;7984;8641;6394;4033;4273;84320;92;300;30056;82585;31291;27814;1705;860;912;76;10;3;3;26656;1648;828;890;31326;5391;7971;6584;11380;5031;2909;3440;58690;9072;14387;13677;21553;11687;19083;17870;35680;12589;16741;919;1996;58690;25817;29195;1940;3678;354400;198096;137840;8354;18464;28002;4999;11564;14479;;;;;;;5692;10930;9752;1178;;;;
75110;11;75;Paris 10e Arrondissement;57773;48963;2208;6602;285;55019;12586;16016;11153;5695;3512;120305;248;893;46599;116687;48712;36284;4707;5019;2702;166;18;14;44;34410;4562;4935;2506;48963;8399;12303;10511;17750;8431;4708;4611;93293;13971;23154;21808;34360;17178;28038;25782;49307;17044;29045;4464;2874;93293;33741;54208;10492;5344;528274;246618;255571;58276;26085;43243;7830;15101;25491;;;;;;;10362;14725;13502;1224;;;;
