"","decoup2008","insee","C_VILLENOU"
"1",6,77005,NA
"2",5,77018,3
"3",6,77022,NA
"4",7,77024,NA
"5",7,77034,NA
"6",6,77037,NA
"7",4,77055,NA
"8",3,77055,NA
"9",3,77067,4
"10",4,77075,NA
"11",5,77079,NA
"12",7,77082,NA
"13",7,77095,NA
"14",6,77096,NA
"15",6,77099,NA
"16",7,77104,NA
"17",6,77107,NA
"18",3,77111,3
"19",4,77111,3
"20",6,77114,NA
"21",7,77116,NA
"22",4,77121,3
"23",6,77125,NA
"24",6,77127,NA
"25",4,77139,NA
"26",5,77142,NA
"27",6,77143,NA
"28",7,77148,NA
"29",5,77153,NA
"30",4,77155,NA
"31",6,77159,NA
"32",3,77169,3
"33",5,77171,NA
"34",7,77175,NA
"35",6,77176,NA
"36",7,77180,NA
"37",5,77182,NA
"38",5,77183,NA
"39",7,77191,NA
"40",5,77192,NA
"41",5,77215,NA
"42",6,77217,NA
"43",3,77221,3
"44",6,77222,NA
"45",6,77226,NA
"46",7,77234,NA
"47",7,77241,NA
"48",3,77249,NA
"49",5,77257,NA
"50",6,77259,NA
"51",6,77260,NA
"52",5,77268,3
"53",7,77269,NA
"54",7,77276,NA
"55",6,77302,NA
"56",4,77307,3
"57",6,77312,NA
"58",5,77316,NA
"59",5,77317,NA
"60",7,77323,NA
"61",6,77325,NA
"62",4,77326,4
"63",5,77327,NA
"64",5,77330,NA
"65",7,77339,NA
"66",5,77349,NA
"67",6,77363,NA
"68",7,77367,NA
"69",4,77372,NA
"70",7,77374,NA
"71",7,77377,NA
"72",4,77378,NA
"73",5,77382,NA
"74",7,77384,4
"75",6,77388,NA
"76",4,77389,NA
"77",6,77400,NA
"78",6,77413,NA
"79",6,77419,NA
"80",6,77420,NA
"81",5,77430,NA
"82",6,77431,NA
"83",7,77436,NA
"84",6,77437,NA
"85",3,77438,3
"86",7,77440,NA
"87",6,77441,NA
"88",6,77442,NA
"89",6,77455,NA
"90",6,77457,NA
"91",6,77458,NA
"92",7,77462,NA
"93",6,77463,NA
"94",4,77464,NA
"95",5,77470,NA
"96",7,77483,NA
"97",5,77491,NA
"98",4,77495,4
"99",7,77508,NA
"100",7,77511,NA
"101",6,77513,NA
"102",5,77513,NA
"103",7,77515,NA
"104",6,77517,NA
"105",7,77518,NA
"106",7,77528,NA
"107",6,78033,NA
"108",5,78043,NA
"109",6,78053,NA
"110",5,78062,NA
"111",7,78090,NA
"112",3,78092,NA
"113",2,78092,NA
"114",3,78117,NA
"115",7,78128,NA
"116",3,78133,NA
"117",3,78138,NA
"118",7,78143,NA
"119",4,78160,NA
"120",3,78168,NA
"121",5,78217,NA
"122",5,78220,NA
"123",3,78224,NA
"124",4,78227,NA
"125",3,78251,NA
"126",4,78267,NA
"127",4,78299,NA
"128",5,78310,NA
"129",4,78321,NA
"130",3,78322,NA
"131",4,78322,NA
"132",4,78343,NA
"133",3,78350,NA
"134",4,78356,5
"135",2,78367,NA
"136",3,78367,NA
"137",5,78380,NA
"138",4,78382,NA
"139",3,78396,NA
"140",4,78397,NA
"141",3,78401,NA
"142",6,78402,NA
"143",6,78420,NA
"144",3,78442,NA
"145",6,78451,NA
"146",5,78455,NA
"147",5,78486,NA
"148",4,78501,NA
"149",3,78502,NA
"150",3,78524,NA
"151",2,78524,NA
"152",7,78562,NA
"153",6,78571,NA
"154",4,78575,NA
"155",4,78576,NA
"156",6,78591,NA
"157",4,78609,NA
"158",3,78638,NA
"159",4,78643,NA
"160",3,78672,NA
"161",6,91016,NA
"162",4,91044,NA
"163",5,91045,NA
"164",6,91047,NA
"165",4,91064,NA
"166",7,91080,NA
"167",6,91085,NA
"168",3,91086,2
"169",7,91093,NA
"170",6,91095,NA
"171",3,91097,NA
"172",6,91099,NA
"173",4,91105,NA
"174",6,91111,NA
"175",4,91115,NA
"176",3,91122,NA
"177",7,91131,NA
"178",4,91136,NA
"179",7,91156,NA
"180",7,91175,NA
"181",4,91179,NA
"182",3,91191,NA
"183",4,91207,NA
"184",3,91225,NA
"185",5,91226,NA
"186",6,91232,NA
"187",6,91249,NA
"188",4,91275,NA
"189",6,91294,NA
"190",6,91315,NA
"191",5,91330,NA
"192",4,91333,NA
"193",4,91339,NA
"194",4,91340,2
"195",4,91347,NA
"196",6,91359,NA
"197",4,91363,NA
"198",5,91376,NA
"199",6,91405,NA
"200",3,91425,NA
"201",6,91433,NA
"202",4,91458,NA
"203",4,91461,NA
"204",4,91479,NA
"205",7,91482,NA
"206",7,91511,NA
"207",3,91514,NA
"208",6,91525,NA
"209",6,91533,NA
"210",4,91534,NA
"211",5,91540,NA
"212",3,91552,NA
"213",3,91553,NA
"214",4,91573,4
"215",3,91577,NA
"216",6,91579,NA
"217",4,91581,NA
"218",4,91587,NA
"219",6,91593,NA
"220",3,91600,NA
"221",4,91631,NA
"222",4,91635,NA
"223",6,91648,NA
"224",6,91649,NA
"225",4,91659,2
"226",3,91661,NA
"227",3,91665,NA
"228",4,91666,NA
"229",3,91667,NA
"230",4,91679,NA
"231",3,91685,NA
"232",4,91689,NA
"233",3,92047,NA
"234",3,92076,NA
"235",4,93015,NA
"236",3,93033,NA
"237",2,93039,NA
"238",3,93074,NA
"239",4,93074,NA
"240",3,94001,NA
"241",4,94047,NA
"242",3,94048,NA
"243",4,94053,NA
"244",4,94056,NA
"245",2,94065,NA
"246",4,94070,NA
"247",3,94075,NA
"248",6,95026,NA
"249",4,95039,NA
"250",3,95051,NA
"251",5,95052,NA
"252",6,95056,NA
"253",4,95060,NA
"254",4,95134,NA
"255",7,95142,NA
"256",6,95149,NA
"257",7,95177,NA
"258",4,95183,1
"259",4,95205,NA
"260",4,95229,NA
"261",4,95256,NA
"262",3,95257,NA
"263",3,95288,NA
"264",7,95341,NA
"265",5,95351,NA
"266",5,95352,NA
"267",3,95369,NA
"268",4,95392,NA
"269",4,95394,NA
"270",7,95395,NA
"271",3,95426,NA
"272",6,95430,NA
"273",4,95480,NA
"274",4,95488,NA
"275",4,95491,NA
"276",6,95504,NA
"277",4,95527,NA
"278",6,95566,NA
"279",3,95574,NA
"280",6,95580,NA
"281",6,95594,NA
"282",5,95604,NA
"283",4,95612,NA
"284",7,95625,NA
"285",5,95652,NA
"286",4,77058,3
"287",1,75006,NA
"288",5,77118,NA
"289",3,94073,NA
"290",2,94002,NA
"291",1,92026,NA
"292",2,93072,NA
"293",1,75016,NA
"294",2,94052,NA
"295",2,94018,NA
"296",1,92012,NA
"297",1,92044,NA
"298",2,92072,NA
"299",1,75020,NA
"300",1,75012,NA
"301",3,78586,NA
"302",1,75014,NA
"303",1,75015,NA
"304",1,94067,NA
"305",3,95218,1
"306",1,93061,NA
"307",2,94043,NA
"308",1,75011,NA
"309",2,93055,NA
"310",1,75005,NA
"311",2,92060,NA
"312",4,77487,NA
"313",2,92004,NA
"314",2,94041,NA
"315",2,78646,NA
"316",2,94046,NA
"317",2,78158,NA
"318",1,75004,NA
"319",3,94044,NA
"320",1,75009,NA
"321",3,91521,2
"322",2,94028,NA
"323",1,75010,NA
"324",1,75019,NA
"325",2,77288,NA
"326",1,75003,NA
"327",1,75017,NA
"328",2,92064,NA
"329",1,75018,NA
"330",2,94081,NA
"331",3,94068,NA
"332",2,93048,NA
"333",1,75002,NA
"334",1,75001,NA
"335",2,94069,NA
"336",2,94058,NA
"337",3,78650,NA
"338",3,94079,3
"339",1,94080,NA
"340",2,92009,NA
"341",1,92040,NA
"342",2,93029,NA
"343",2,93045,NA
"344",3,93005,NA
"345",3,78146,NA
"346",3,78297,5
"347",1,92024,NA
"348",1,75013,NA
"349",1,75007,NA
"350",2,91228,2
"351",3,77108,NA
"352",3,93077,NA
"353",2,92063,NA
"354",1,92051,NA
"355",2,92032,NA
"356",3,78311,NA
"357",3,93062,NA
"358",3,91174,NA
"359",3,91471,NA
"360",2,92023,NA
"361",2,92077,NA
"362",2,93059,NA
"363",3,91691,NA
"364",2,93051,3
"365",2,95252,NA
"366",3,78208,5
"367",3,93057,NA
"368",2,94080,NA
"369",2,92071,NA
"370",3,94015,3
"371",2,77468,3
"372",1,75008,NA
"373",5,77053,NA
"374",2,94038,NA
"375",2,94015,3
"376",2,93063,NA
"377",2,94017,NA
"378",3,91549,NA
"379",2,92025,NA
"380",3,92036,NA
"381",3,78640,NA
"382",3,91161,NA
