date;[18,25[;[25,30[;[30,35[;[35,40[;[40,45[;[45,50[;[50,55[;[55,60[;[60+
1996;839797;919687;939922;851573;811521;844556;589922;507626;1704669
1999;762385;935072;912556;869453;804158;803796;730428;508394;1740060
2003;788088;880131;936934;890528;828467;776620;787215;632218;1801317
2004;794311;863387;950390;885760;840913;777788;771763;673378;1821631
2005;802800;859995;951627;881025;850293;783187;760285;706955;1853862
2006;819476;891438;924156;873732;853349;790532;746563;743516;1881179
2007;817026;900789;907373;878107;860848;794844;745573;737665;1934664
2008;813914;900911;891781;892828;859559;801262;741978;729237;1998436
2009;823614;899366;879819;900604;855884;813132;744930;716182;2052446
2010;827495;897701;873135;904094;846797;823241;748777;706436;2102413
2011;827374;888657;881494;895514;847519;829582;758135;695987;2157572
2012;827804;884194;888573;879251;851161;835343;763438;696438;2191064
