DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
75001;11;75;751;7515;Paris 1er Arrondissement;17100;17915;16888
75002;11;75;751;7516;Paris 2e  Arrondissement;22390;21745;19585
75003;11;75;751;7517;Paris 3e  Arrondissement;35991;34576;34248
75004;11;75;751;7518;Paris 4e  Arrondissement;27769;28572;30675
75005;11;75;751;7519;Paris 5e  Arrondissement;60179;62664;58849
75006;11;75;751;7520;Paris 6e  Arrondissement;43224;45332;44919
75007;11;75;751;7521;Paris 7e  Arrondissement;57092;57410;56985
75008;11;75;751;7522;Paris 8e  Arrondissement;38749;39165;39314
75109;11;75;751;7523;Paris 9e  Arrondissement;59474;58632;55838
75010;11;75;751;7524;Paris 10e  Arrondissement;94474;93373;89612
75011;11;75;751;7525;Paris 11e  Arrondissement;155006;151421;149102
75012;11;75;751;7526;Paris 12e  Arrondissement;144925;142425;136591
75013;11;75;751;7527;Paris 13e  Arrondissement;182386;179213;171533
75014;11;75;751;7528;Paris 14e  Arrondissement;141102;134382;132844
75015;11;75;751;7529;Paris 15e  Arrondissement;238190;232247;225362
75016;11;75;751;7530;Paris 16e  Arrondissement;167613;159706;161773
75017;11;75;751;7531;Paris 17e  Arrondissement;170156;164673;160860
75018;11;75;751;7532;Paris 18e  Arrondissement;201374;191523;184586
75019;11;75;751;7533;Paris 19e  Arrondissement;186116;184038;172730
75020;11;75;751;7534;Paris 20e  Arrondissement;197311;194018;182952
77001;11;77;774;7703;Achères-la-Forêt;1224;1242;1040
77002;11;77;773;7711;Amillis;797;762;685
77003;11;77;774;7703;Amponville;388;363;301
77004;11;77;772;7722;Andrezel;290;317;365
77005;11;77;775;7706;Annet-sur-Marne;3209;3240;2482
77006;11;77;772;7732;Arbonne-la-Forêt;1026;967;947
77007;11;77;772;7722;Argentières;394;364;364
77008;11;77;771;7715;Armentières-en-Brie;1373;1352;1256
77009;11;77;774;7704;Arville;124;139;121
77010;11;77;772;7722;Aubepierre-Ozouer-le-Repos;888;895;867
77011;11;77;774;7704;Aufferville;555;539;449
77012;11;77;773;7729;Augers-en-Brie;305;304;260
77013;11;77;771;7707;Aulnoy;387;385;332
77014;11;77;774;7713;Avon;14151;13970;14030
77015;11;77;773;7701;Baby;97;69;66
77016;11;77;774;7724;Bagneaux-sur-Loing;1693;1604;1595
77018;11;77;775;7743;Bailly-Romainvilliers;7175;5666;3393
77019;11;77;773;7701;Balloy;319;337;358
77020;11;77;773;7723;Bannost-Villegagnon;661;595;482
77021;11;77;773;7720;Barbey;181;173;151
77022;11;77;772;7732;Barbizon;1331;1587;1490
77023;11;77;771;7717;Barcy;262;223;213
77024;11;77;771;7712;Bassevelle;345;352;354
